Year,Level,Division,Test,RawScore,Percentile
2025,0,Classroom Experience,Total Score,0,0
2025,0,Classroom Experience,Total Score,1,0
2025,0,Classroom Experience,Total Score,2,1
2025,0,Classroom Experience,Total Score,3,1
2025,0,Classroom Experience,Total Score,4,1
2025,0,Classroom Experience,Total Score,5,1
2025,0,Classroom Experience,Total Score,6,1
2025,0,Classroom Experience,Total Score,7,1
2025,0,Classroom Experience,Total Score,8,1
2025,0,Classroom Experience,Total Score,9,1
2025,0,Classroom Experience,Total Score,10,1
2025,0,Classroom Experience,Total Score,11,1
2025,0,Classroom Experience,Total Score,12,1
2025,0,Classroom Experience,Total Score,13,1
2025,0,Classroom Experience,Total Score,14,1
2025,0,Classroom Experience,Total Score,15,1
2025,0,Classroom Experience,Total Score,16,1
2025,0,Classroom Experience,Total Score,17,1
2025,0,Classroom Experience,Total Score,18,1
2025,0,Classroom Experience,Total Score,19,1
2025,0,Classroom Experience,Total Score,20,1
2025,0,Classroom Experience,Total Score,21,1
2025,0,Classroom Experience,Total Score,22,1
2025,0,Classroom Experience,Total Score,23,1
2025,0,Classroom Experience,Total Score,24,1
2025,0,Classroom Experience,Total Score,25,1
2025,0,Classroom Experience,Total Score,26,2
2025,0,Classroom Experience,Total Score,27,2
2025,0,Classroom Experience,Total Score,28,2
2025,0,Classroom Experience,Total Score,29,2
2025,0,Classroom Experience,Total Score,30,2
2025,0,Classroom Experience,Total Score,31,2
2025,0,Classroom Experience,Total Score,32,3
2025,0,Classroom Experience,Total Score,33,3
2025,0,Classroom Experience,Total Score,34,3
2025,0,Classroom Experience,Total Score,35,3
2025,0,Classroom Experience,Total Score,36,4
2025,0,Classroom Experience,Total Score,37,4
2025,0,Classroom Experience,Total Score,38,4
2025,0,Classroom Experience,Total Score,39,5
2025,0,Classroom Experience,Total Score,40,5
2025,0,Classroom Experience,Total Score,41,6
2025,0,Classroom Experience,Total Score,42,6
2025,0,Classroom Experience,Total Score,43,6
2025,0,Classroom Experience,Total Score,44,7
2025,0,Classroom Experience,Total Score,45,7
2025,0,Classroom Experience,Total Score,46,8
2025,0,Classroom Experience,Total Score,47,9
2025,0,Classroom Experience,Total Score,48,9
2025,0,Classroom Experience,Total Score,49,10
2025,0,Classroom Experience,Total Score,50,11
2025,0,Classroom Experience,Total Score,51,12
2025,0,Classroom Experience,Total Score,52,12
2025,0,Classroom Experience,Total Score,53,13
2025,0,Classroom Experience,Total Score,54,14
2025,0,Classroom Experience,Total Score,55,15
2025,0,Classroom Experience,Total Score,56,16
2025,0,Classroom Experience,Total Score,57,17
2025,0,Classroom Experience,Total Score,58,18
2025,0,Classroom Experience,Total Score,59,19
2025,0,Classroom Experience,Total Score,60,20
2025,0,Classroom Experience,Total Score,60,21
2025,0,Classroom Experience,Total Score,61,22
2025,0,Classroom Experience,Total Score,62,23
2025,0,Classroom Experience,Total Score,63,24
2025,0,Classroom Experience,Total Score,63,25
2025,0,Classroom Experience,Total Score,64,26
2025,0,Classroom Experience,Total Score,65,27
2025,0,Classroom Experience,Total Score,66,28
2025,0,Classroom Experience,Total Score,66,29
2025,0,Classroom Experience,Total Score,67,30
2025,0,Classroom Experience,Total Score,68,31
2025,0,Classroom Experience,Total Score,68,32
2025,0,Classroom Experience,Total Score,69,33
2025,0,Classroom Experience,Total Score,70,34
